PSO, iterations:, 300: Average distance in clusters: 0.655126, Average distance between clusters: 0.394851, Davies-Bouldin index: 3.318351, 
PSO, iterations:, 300: Average distance in clusters: 0.604094, Average distance between clusters: 0.216178, Davies-Bouldin index: 5.588849, 
PSO, iterations:, 300: Average distance in clusters: 0.516433, Average distance between clusters: 0.066043, Davies-Bouldin index: 15.639268, 
PSO, iterations:, 300: Average distance in clusters: 0.338596, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.341776, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.321104, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.334208, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.689009, Average distance between clusters: 0.232045, Davies-Bouldin index: 5.938592, 
PSO, iterations:, 300: Average distance in clusters: 0.747802, Average distance between clusters: 0.375960, Davies-Bouldin index: 3.978092, 
PSO, iterations:, 300: Average distance in clusters: 0.753505, Average distance between clusters: 0.486148, Davies-Bouldin index: 3.099901, 
PSO, iterations:, 300: Average distance in clusters: 0.962770, Average distance between clusters: 0.589626, Davies-Bouldin index: 3.265699, 
PSO, iterations:, 300: Average distance in clusters: 0.630826, Average distance between clusters: 0.240350, Davies-Bouldin index: 5.249237, 
PSO, iterations:, 300: Average distance in clusters: 0.815214, Average distance between clusters: 0.475211, Davies-Bouldin index: 3.430952, 
PSO, iterations:, 300: Average distance in clusters: 0.433128, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.473291, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.334499, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.714317, Average distance between clusters: 0.165956, Davies-Bouldin index: 8.608524, 
PSO, iterations:, 300: Average distance in clusters: 0.513580, Average distance between clusters: 0.130692, Davies-Bouldin index: 7.859420, 
PSO, iterations:, 300: Average distance in clusters: 0.382295, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.840143, Average distance between clusters: 0.363262, Davies-Bouldin index: 4.625543, 
PSO, iterations:, 300: Average distance in clusters: 0.399346, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.572088, Average distance between clusters: 0.243589, Davies-Bouldin index: 4.697167, 
PSO, iterations:, 300: Average distance in clusters: 0.800411, Average distance between clusters: 0.477880, Davies-Bouldin index: 3.349841, 
PSO, iterations:, 300: Average distance in clusters: 0.466565, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.369216, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.326016, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.381074, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.329556, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.727031, Average distance between clusters: 0.364031, Davies-Bouldin index: 3.994336, 
PSO, iterations:, 300: Average distance in clusters: 0.687112, Average distance between clusters: 0.165526, Davies-Bouldin index: 8.302180, 
PSO, iterations:, 300: Average distance in clusters: 0.373358, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.608149, Average distance between clusters: 0.114793, Davies-Bouldin index: 10.595624, 
PSO, iterations:, 300: Average distance in clusters: 0.725673, Average distance between clusters: 0.340658, Davies-Bouldin index: 4.260424, 
PSO, iterations:, 300: Average distance in clusters: 0.354574, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.345900, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.336650, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.499522, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.384289, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.330316, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.387848, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.460943, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.859653, Average distance between clusters: 0.512949, Davies-Bouldin index: 3.351810, 
PSO, iterations:, 300: Average distance in clusters: 0.333113, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.354258, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.688859, Average distance between clusters: 0.148302, Davies-Bouldin index: 9.289962, 
PSO, iterations:, 300: Average distance in clusters: 0.340736, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.485001, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
