PSO, iterations:, 300:, Average distance in clusters:, 1.012088, Average distance between clusters:, 0.740837, Davies-Bouldin index:, 2.732283, 
PSO, iterations:, 300:, Average distance in clusters:, 0.848046, Average distance between clusters:, 0.639738, Davies-Bouldin index:, 2.651230, 
PSO, iterations:, 300:, Average distance in clusters:, 0.886347, Average distance between clusters:, 0.577224, Davies-Bouldin index:, 3.071069, 
PSO, iterations:, 300:, Average distance in clusters:, 1.015121, Average distance between clusters:, 0.818679, Davies-Bouldin index:, 2.479897, 
PSO, iterations:, 300:, Average distance in clusters:, 1.402197, Average distance between clusters:, 1.455763, Davies-Bouldin index:, 1.926408, 
PSO, iterations:, 300:, Average distance in clusters:, 1.657681, Average distance between clusters:, 1.200467, Davies-Bouldin index:, 2.761727, 
PSO, iterations:, 300:, Average distance in clusters:, 1.659586, Average distance between clusters:, 1.172390, Davies-Bouldin index:, 2.831117, 
PSO, iterations:, 300:, Average distance in clusters:, 0.974362, Average distance between clusters:, 0.884412, Davies-Bouldin index:, 2.203411, 
PSO, iterations:, 300:, Average distance in clusters:, 1.275144, Average distance between clusters:, 1.178634, Davies-Bouldin index:, 2.163764, 
PSO, iterations:, 300:, Average distance in clusters:, 0.538682, Average distance between clusters:, 0.143337, Davies-Bouldin index:, 7.516310, 
PSO, iterations:, 300:, Average distance in clusters:, 0.790699, Average distance between clusters:, 0.412369, Davies-Bouldin index:, 3.834911, 
PSO, iterations:, 300:, Average distance in clusters:, 1.475796, Average distance between clusters:, 1.388959, Davies-Bouldin index:, 2.125040, 
PSO, iterations:, 300:, Average distance in clusters:, 1.287882, Average distance between clusters:, 1.069993, Davies-Bouldin index:, 2.407271, 
PSO, iterations:, 300:, Average distance in clusters:, 0.971932, Average distance between clusters:, 0.641072, Davies-Bouldin index:, 3.032209, 
PSO, iterations:, 300:, Average distance in clusters:, 1.085260, Average distance between clusters:, 1.000206, Davies-Bouldin index:, 2.170074, 
PSO, iterations:, 300:, Average distance in clusters:, 1.022776, Average distance between clusters:, 0.724505, Davies-Bouldin index:, 2.823379, 
PSO, iterations:, 300:, Average distance in clusters:, 0.718539, Average distance between clusters:, 0.378555, Davies-Bouldin index:, 3.796222, 
PSO, iterations:, 300:, Average distance in clusters:, 1.275284, Average distance between clusters:, 1.288557, Davies-Bouldin index:, 1.979399, 
PSO, iterations:, 300:, Average distance in clusters:, 0.958161, Average distance between clusters:, 0.762493, Davies-Bouldin index:, 2.513230, 
PSO, iterations:, 300:, Average distance in clusters:, 0.491923, Average distance between clusters:, 0.178824, Davies-Bouldin index:, 5.501764, 
PSO, iterations:, 300:, Average distance in clusters:, 0.998752, Average distance between clusters:, 0.562232, Davies-Bouldin index:, 3.552813, 
PSO, iterations:, 300:, Average distance in clusters:, 0.983040, Average distance between clusters:, 0.505387, Davies-Bouldin index:, 3.890245, 
PSO, iterations:, 300:, Average distance in clusters:, 1.162145, Average distance between clusters:, 0.935164, Davies-Bouldin index:, 2.485438, 
PSO, iterations:, 300:, Average distance in clusters:, 0.944112, Average distance between clusters:, 0.533506, Davies-Bouldin index:, 3.539275, 
PSO, iterations:, 300:, Average distance in clusters:, 0.654584, Average distance between clusters:, 0.329801, Davies-Bouldin index:, 3.969572, 
PSO, iterations:, 300:, Average distance in clusters:, 1.669410, Average distance between clusters:, 1.041949, Davies-Bouldin index:, 3.204399, 
PSO, iterations:, 300:, Average distance in clusters:, 0.786854, Average distance between clusters:, 0.389705, Davies-Bouldin index:, 4.038203, 
PSO, iterations:, 300:, Average distance in clusters:, 1.227691, Average distance between clusters:, 1.148868, Davies-Bouldin index:, 2.137218, 
PSO, iterations:, 300:, Average distance in clusters:, 0.726253, Average distance between clusters:, 0.340322, Davies-Bouldin index:, 4.268042, 
PSO, iterations:, 300:, Average distance in clusters:, 0.981870, Average distance between clusters:, 0.811726, Davies-Bouldin index:, 2.419215, 
PSO, iterations:, 300:, Average distance in clusters:, 1.172893, Average distance between clusters:, 0.674877, Davies-Bouldin index:, 3.475871, 
PSO, iterations:, 300:, Average distance in clusters:, 1.021151, Average distance between clusters:, 0.442447, Davies-Bouldin index:, 4.615929, 
PSO, iterations:, 300:, Average distance in clusters:, 0.626310, Average distance between clusters:, 0.470112, Davies-Bouldin index:, 2.664511, 
PSO, iterations:, 300:, Average distance in clusters:, 0.937969, Average distance between clusters:, 0.175987, Davies-Bouldin index:, 10.659539, 
PSO, iterations:, 300:, Average distance in clusters:, 1.221863, Average distance between clusters:, 1.084861, Davies-Bouldin index:, 2.252571, 
PSO, iterations:, 300:, Average distance in clusters:, 0.786043, Average distance between clusters:, 0.452238, Davies-Bouldin index:, 3.476235, 
