PSO, iterations:, 300:, Average distance in clusters:, 2.486154, Average distance between clusters:, 1.137584, Davies-Bouldin index:, 4.370937, 
PSO, iterations:, 300:, Average distance in clusters:, 2.341626, Average distance between clusters:, 2.363847, Davies-Bouldin index:, 1.981199, 
PSO, iterations:, 300:, Average distance in clusters:, 2.518161, Average distance between clusters:, 0.996308, Davies-Bouldin index:, 5.054987, 
PSO, iterations:, 300:, Average distance in clusters:, 2.591716, Average distance between clusters:, 1.492556, Davies-Bouldin index:, 3.472857, 
PSO, iterations:, 300:, Average distance in clusters:, 2.431257, Average distance between clusters:, 1.059129, Davies-Bouldin index:, 4.591050, 
PSO, iterations:, 300:, Average distance in clusters:, 2.464330, Average distance between clusters:, 0.901976, Davies-Bouldin index:, 5.464293, 
PSO, iterations:, 300:, Average distance in clusters:, 2.591064, Average distance between clusters:, 1.503062, Davies-Bouldin index:, 3.447713, 
PSO, iterations:, 300:, Average distance in clusters:, 2.493999, Average distance between clusters:, 0.996245, Davies-Bouldin index:, 5.006799, 
PSO, iterations:, 300:, Average distance in clusters:, 2.443566, Average distance between clusters:, 2.017368, Davies-Bouldin index:, 2.422529, 
PSO, iterations:, 300:, Average distance in clusters:, 2.550648, Average distance between clusters:, 1.088451, Davies-Bouldin index:, 4.686751, 
PSO, iterations:, 300:, Average distance in clusters:, 2.511635, Average distance between clusters:, 1.275718, Davies-Bouldin index:, 3.937600, 
PSO, iterations:, 300:, Average distance in clusters:, 2.408880, Average distance between clusters:, 1.961759, Davies-Bouldin index:, 2.455837, 
PSO, iterations:, 300:, Average distance in clusters:, 2.486162, Average distance between clusters:, 1.295352, Davies-Bouldin index:, 3.838589, 
PSO, iterations:, 300:, Average distance in clusters:, 2.289131, Average distance between clusters:, 1.635002, Davies-Bouldin index:, 2.800156, 
PSO, iterations:, 300:, Average distance in clusters:, 2.471887, Average distance between clusters:, 0.857241, Davies-Bouldin index:, 5.767077, 
PSO, iterations:, 300:, Average distance in clusters:, 2.260021, Average distance between clusters:, 2.434987, Davies-Bouldin index:, 1.856291, 
PSO, iterations:, 300:, Average distance in clusters:, 2.533851, Average distance between clusters:, 1.085927, Davies-Bouldin index:, 4.666706, 
PSO, iterations:, 300:, Average distance in clusters:, 2.444558, Average distance between clusters:, 1.231527, Davies-Bouldin index:, 3.969963, 
PSO, iterations:, 300:, Average distance in clusters:, 2.413287, Average distance between clusters:, 1.674689, Davies-Bouldin index:, 2.882072, 
PSO, iterations:, 300:, Average distance in clusters:, 2.477838, Average distance between clusters:, 1.147346, Davies-Bouldin index:, 4.319253, 
PSO, iterations:, 300:, Average distance in clusters:, 2.533626, Average distance between clusters:, 1.363302, Davies-Bouldin index:, 3.716895, 
PSO, iterations:, 300:, Average distance in clusters:, 2.500166, Average distance between clusters:, 0.893998, Davies-Bouldin index:, 5.593224, 
PSO, iterations:, 300:, Average distance in clusters:, 2.484165, Average distance between clusters:, 1.169139, Davies-Bouldin index:, 4.249565, 
PSO, iterations:, 300:, Average distance in clusters:, 2.400081, Average distance between clusters:, 0.878331, Davies-Bouldin index:, 5.465098, 
PSO, iterations:, 300:, Average distance in clusters:, 2.552795, Average distance between clusters:, 1.010420, Davies-Bouldin index:, 5.052940, 
PSO, iterations:, 300:, Average distance in clusters:, 2.333914, Average distance between clusters:, 2.069113, Davies-Bouldin index:, 2.255956, 
PSO, iterations:, 300:, Average distance in clusters:, 2.342776, Average distance between clusters:, 0.818542, Davies-Bouldin index:, 5.724266, 
PSO, iterations:, 300:, Average distance in clusters:, 2.329710, Average distance between clusters:, 1.468348, Davies-Bouldin index:, 3.173239, 
PSO, iterations:, 300:, Average distance in clusters:, 2.496764, Average distance between clusters:, 1.340172, Davies-Bouldin index:, 3.726035, 
PSO, iterations:, 300:, Average distance in clusters:, 2.452538, Average distance between clusters:, 0.988706, Davies-Bouldin index:, 4.961107, 
PSO, iterations:, 300:, Average distance in clusters:, 2.462101, Average distance between clusters:, 1.730345, Davies-Bouldin index:, 2.845792, 
PSO, iterations:, 300:, Average distance in clusters:, 2.554647, Average distance between clusters:, 1.268989, Davies-Bouldin index:, 4.026271, 
PSO, iterations:, 300:, Average distance in clusters:, 2.462526, Average distance between clusters:, 0.690074, Davies-Bouldin index:, 7.136993, 
PSO, iterations:, 300:, Average distance in clusters:, 2.442209, Average distance between clusters:, 1.057278, Davies-Bouldin index:, 4.619805, 
PSO, iterations:, 300:, Average distance in clusters:, 2.389886, Average distance between clusters:, 1.875628, Davies-Bouldin index:, 2.548358, 
PSO, iterations:, 300:, Average distance in clusters:, 2.499036, Average distance between clusters:, 1.014120, Davies-Bouldin index:, 4.928480, 
PSO, iterations:, 300:, Average distance in clusters:, 2.327725, Average distance between clusters:, 1.527714, Davies-Bouldin index:, 3.047331, 
PSO, iterations:, 300:, Average distance in clusters:, 2.365439, Average distance between clusters:, 1.292812, Davies-Bouldin index:, 3.659370, 
PSO, iterations:, 300:, Average distance in clusters:, 2.128448, Average distance between clusters:, 1.889158, Davies-Bouldin index:, 2.253330, 
PSO, iterations:, 300:, Average distance in clusters:, 2.441285, Average distance between clusters:, 1.394987, Davies-Bouldin index:, 3.500084, 
PSO, iterations:, 300:, Average distance in clusters:, 2.496199, Average distance between clusters:, 1.398044, Davies-Bouldin index:, 3.570987, 
PSO, iterations:, 300:, Average distance in clusters:, 2.399209, Average distance between clusters:, 1.264654, Davies-Bouldin index:, 3.794253, 
PSO, iterations:, 300:, Average distance in clusters:, 2.463694, Average distance between clusters:, 1.605954, Davies-Bouldin index:, 3.068201, 
PSO, iterations:, 300:, Average distance in clusters:, 2.463343, Average distance between clusters:, 1.542726, Davies-Bouldin index:, 3.193493, 
PSO, iterations:, 300:, Average distance in clusters:, 2.473823, Average distance between clusters:, 1.163539, Davies-Bouldin index:, 4.252240, 
PSO, iterations:, 300:, Average distance in clusters:, 2.386477, Average distance between clusters:, 1.253566, Davies-Bouldin index:, 3.807501, 
PSO, iterations:, 300:, Average distance in clusters:, 2.449535, Average distance between clusters:, 1.640259, Davies-Bouldin index:, 2.986766, 
PSO, iterations:, 300:, Average distance in clusters:, 2.490641, Average distance between clusters:, 0.874917, Davies-Bouldin index:, 5.693436, 
PSO, iterations:, 300:, Average distance in clusters:, 2.487125, Average distance between clusters:, 0.944184, Davies-Bouldin index:, 5.268309, 
PSO, iterations:, 300:, Average distance in clusters:, 2.375909, Average distance between clusters:, 1.229362, Davies-Bouldin index:, 3.865273, 
PSO, iterations:, 300:, Average distance in clusters:, 2.437455, Average distance between clusters:, 1.627942, Davies-Bouldin index:, 2.994523, 
