PSO, iterations:, 300:, Average distance in clusters:, 1.053973, Average distance between clusters:, 0.451195, Davies-Bouldin index:, 4.913037, 
PSO, iterations:, 300:, Average distance in clusters:, 1.062530, Average distance between clusters:, 0.446565, Davies-Bouldin index:, 5.195588, 
PSO, iterations:, 300:, Average distance in clusters:, 1.054539, Average distance between clusters:, 0.477667, Davies-Bouldin index:, 5.069198, 
PSO, iterations:, 300:, Average distance in clusters:, 1.177864, Average distance between clusters:, 0.520961, Davies-Bouldin index:, 4.949883, 
PSO, iterations:, 300:, Average distance in clusters:, 1.018663, Average distance between clusters:, 0.536349, Davies-Bouldin index:, 4.391346, 
PSO, iterations:, 300:, Average distance in clusters:, 1.051379, Average distance between clusters:, 0.638966, Davies-Bouldin index:, 3.833688, 
PSO, iterations:, 300:, Average distance in clusters:, 1.100796, Average distance between clusters:, 0.384353, Davies-Bouldin index:, 6.557048, 
PSO, iterations:, 300:, Average distance in clusters:, 1.034033, Average distance between clusters:, 0.519411, Davies-Bouldin index:, 4.395149, 
PSO, iterations:, 300:, Average distance in clusters:, 1.001497, Average distance between clusters:, 0.538331, Davies-Bouldin index:, 3.967796, 
PSO, iterations:, 300:, Average distance in clusters:, 1.043962, Average distance between clusters:, 0.583597, Davies-Bouldin index:, 3.792668, 
PSO, iterations:, 300:, Average distance in clusters:, 0.998219, Average distance between clusters:, 0.390696, Davies-Bouldin index:, 5.676129, 
PSO, iterations:, 300:, Average distance in clusters:, 1.057238, Average distance between clusters:, 0.732023, Davies-Bouldin index:, 3.196004, 
PSO, iterations:, 300:, Average distance in clusters:, 0.981867, Average distance between clusters:, 0.835450, Davies-Bouldin index:, 2.617797, 
PSO, iterations:, 300:, Average distance in clusters:, 1.012075, Average distance between clusters:, 0.345834, Davies-Bouldin index:, 6.381651, 
PSO, iterations:, 300:, Average distance in clusters:, 1.107586, Average distance between clusters:, 0.601435, Davies-Bouldin index:, 3.831668, 
PSO, iterations:, 300:, Average distance in clusters:, 1.028417, Average distance between clusters:, 0.666622, Davies-Bouldin index:, 3.326060, 
PSO, iterations:, 300:, Average distance in clusters:, 1.055735, Average distance between clusters:, 0.563444, Davies-Bouldin index:, 4.388130, 
PSO, iterations:, 300:, Average distance in clusters:, 1.002875, Average distance between clusters:, 0.670888, Davies-Bouldin index:, 3.524606, 
PSO, iterations:, 300:, Average distance in clusters:, 1.097300, Average distance between clusters:, 0.827165, Davies-Bouldin index:, 3.249869, 
PSO, iterations:, 300:, Average distance in clusters:, 1.112974, Average distance between clusters:, 0.450675, Davies-Bouldin index:, 5.414774, 
PSO, iterations:, 300:, Average distance in clusters:, 0.984614, Average distance between clusters:, 0.490206, Davies-Bouldin index:, 4.933719, 
PSO, iterations:, 300:, Average distance in clusters:, 0.993499, Average distance between clusters:, 0.756070, Davies-Bouldin index:, 2.813931, 
PSO, iterations:, 300:, Average distance in clusters:, 1.040269, Average distance between clusters:, 0.491955, Davies-Bouldin index:, 4.517991, 
PSO, iterations:, 300:, Average distance in clusters:, 1.082655, Average distance between clusters:, 0.884874, Davies-Bouldin index:, 2.478000, 
PSO, iterations:, 300:, Average distance in clusters:, 1.115598, Average distance between clusters:, 0.574389, Davies-Bouldin index:, 4.155200, 
PSO, iterations:, 300:, Average distance in clusters:, 1.110221, Average distance between clusters:, 0.600451, Davies-Bouldin index:, 4.129350, 
PSO, iterations:, 300:, Average distance in clusters:, 1.082029, Average distance between clusters:, 0.504709, Davies-Bouldin index:, 5.165499, 
PSO, iterations:, 300:, Average distance in clusters:, 1.000645, Average distance between clusters:, 0.540163, Davies-Bouldin index:, 4.001619, 
PSO, iterations:, 300:, Average distance in clusters:, 1.058431, Average distance between clusters:, 0.401350, Davies-Bouldin index:, 5.945855, 
PSO, iterations:, 300:, Average distance in clusters:, 1.059606, Average distance between clusters:, 0.713557, Davies-Bouldin index:, 3.884081, 
PSO, iterations:, 300:, Average distance in clusters:, 1.030400, Average distance between clusters:, 0.649536, Davies-Bouldin index:, 3.976169, 
PSO, iterations:, 300:, Average distance in clusters:, 1.006079, Average distance between clusters:, 0.468123, Davies-Bouldin index:, 4.924662, 
PSO, iterations:, 300:, Average distance in clusters:, 1.025939, Average distance between clusters:, 0.452297, Davies-Bouldin index:, 5.100205, 
PSO, iterations:, 300:, Average distance in clusters:, 1.118220, Average distance between clusters:, 0.712284, Davies-Bouldin index:, 3.614795, 
PSO, iterations:, 300:, Average distance in clusters:, 1.111754, Average distance between clusters:, 0.590017, Davies-Bouldin index:, 4.237974, 
PSO, iterations:, 300:, Average distance in clusters:, 1.079174, Average distance between clusters:, 0.573869, Davies-Bouldin index:, 4.605013, 
PSO, iterations:, 300:, Average distance in clusters:, 1.142972, Average distance between clusters:, 0.478004, Davies-Bouldin index:, 5.166027, 
PSO, iterations:, 300:, Average distance in clusters:, 1.032464, Average distance between clusters:, 0.448867, Davies-Bouldin index:, 5.046841, 
PSO, iterations:, 300:, Average distance in clusters:, 1.142792, Average distance between clusters:, 0.576958, Davies-Bouldin index:, 4.362438, 
PSO, iterations:, 300:, Average distance in clusters:, 1.047253, Average distance between clusters:, 0.703491, Davies-Bouldin index:, 3.328479, 
PSO, iterations:, 300:, Average distance in clusters:, 1.023774, Average distance between clusters:, 0.545012, Davies-Bouldin index:, 4.116861, 
PSO, iterations:, 300:, Average distance in clusters:, 1.071843, Average distance between clusters:, 0.470250, Davies-Bouldin index:, 5.048296, 
PSO, iterations:, 300:, Average distance in clusters:, 0.923797, Average distance between clusters:, 0.415388, Davies-Bouldin index:, 4.512832, 
PSO, iterations:, 300:, Average distance in clusters:, 0.952697, Average distance between clusters:, 0.636861, Davies-Bouldin index:, 3.076132, 
PSO, iterations:, 300:, Average distance in clusters:, 1.030307, Average distance between clusters:, 0.515823, Davies-Bouldin index:, 4.231103, 
PSO, iterations:, 300:, Average distance in clusters:, 1.110417, Average distance between clusters:, 0.463132, Davies-Bouldin index:, 6.039779, 
PSO, iterations:, 300:, Average distance in clusters:, 1.048012, Average distance between clusters:, 0.647237, Davies-Bouldin index:, 3.758029, 
PSO, iterations:, 300:, Average distance in clusters:, 1.150157, Average distance between clusters:, 0.547360, Davies-Bouldin index:, 4.994533, 
PSO, iterations:, 300:, Average distance in clusters:, 1.004426, Average distance between clusters:, 0.694740, Davies-Bouldin index:, 3.263317, 
PSO, iterations:, 300:, Average distance in clusters:, 1.126567, Average distance between clusters:, 0.373510, Davies-Bouldin index:, 6.250294, 
PSO, iterations:, 300:, Average distance in clusters:, 1.066043, Average distance between clusters:, 0.753952, Davies-Bouldin index:, 3.189887, 
