PSO, iterations:, 300: Average distance in clusters: 0.796325, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.783087, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.763013, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.802279, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.737625, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 1.222308, Average distance between clusters: 0.797353, Davies-Bouldin index: 3.065914, 
PSO, iterations:, 300: Average distance in clusters: 0.887618, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.776708, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.834240, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.869802, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.797909, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.836041, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.757769, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.792391, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.794915, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.930302, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.795763, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.817169, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.817255, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.785899, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.918506, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.898908, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.772560, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.813916, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.812146, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 1.308516, Average distance between clusters: 0.807101, Davies-Bouldin index: 3.242509, 
PSO, iterations:, 300: Average distance in clusters: 0.897963, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.866183, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.810912, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.792269, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.679941, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.787924, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.752843, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.919145, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
