iterations ,300,: Average distance in clusters:, 0.152605, Average distance between clusters:, 0.205775, Davies-Bouldin index:, 1.483221, 
iterations ,300,: Average distance in clusters:, 0.153761, Average distance between clusters:, 0.210427, Davies-Bouldin index:, 1.461419, 
iterations ,300,: Average distance in clusters:, 0.141070, Average distance between clusters:, 0.193457, Davies-Bouldin index:, 1.458411, 
iterations ,300,: Average distance in clusters:, 0.150360, Average distance between clusters:, 0.287413, Davies-Bouldin index:, 1.046300, 
iterations ,300,: Average distance in clusters:, 0.174317, Average distance between clusters:, 0.047662, Davies-Bouldin index:, 7.314692, 
iterations ,300,: Average distance in clusters:, 0.133657, Average distance between clusters:, 0.030800, Davies-Bouldin index:, 8.678994, 
iterations ,300,: Average distance in clusters:, 0.139167, Average distance between clusters:, 0.188192, Davies-Bouldin index:, 1.478993, 
iterations ,300,: Average distance in clusters:, 0.137031, Average distance between clusters:, 0.177165, Davies-Bouldin index:, 1.546933, 
iterations ,300,: Average distance in clusters:, 0.163034, Average distance between clusters:, 0.223425, Davies-Bouldin index:, 1.459410, 
iterations ,300,: Average distance in clusters:, 0.151534, Average distance between clusters:, 0.204198, Davies-Bouldin index:, 1.484182, 
iterations ,300,: Average distance in clusters:, 0.157988, Average distance between clusters:, 0.204992, Davies-Bouldin index:, 1.541406, 
iterations ,300,: Average distance in clusters:, 0.170685, Average distance between clusters:, 0.232889, Davies-Bouldin index:, 1.465808, 
iterations ,300,: Average distance in clusters:, 0.230192, Average distance between clusters:, 0.084418, Davies-Bouldin index:, 5.453640, 
iterations ,300,: Average distance in clusters:, 0.170700, Average distance between clusters:, 0.205566, Davies-Bouldin index:, 1.660777, 
iterations ,300,: Average distance in clusters:, 0.160697, Average distance between clusters:, 0.219450, Davies-Bouldin index:, 1.464542, 
iterations ,300,: Average distance in clusters:, 0.159084, Average distance between clusters:, 0.216077, Davies-Bouldin index:, 1.472468, 
iterations ,300,: Average distance in clusters:, 0.157532, Average distance between clusters:, 0.149973, Davies-Bouldin index:, 2.100805, 
iterations ,300,: Average distance in clusters:, 0.144018, Average distance between clusters:, 0.065570, Davies-Bouldin index:, 4.392825, 
iterations ,300,: Average distance in clusters:, 0.122927, Average distance between clusters:, 0.135948, Davies-Bouldin index:, 1.808436, 
iterations ,300,: Average distance in clusters:, 0.125072, Average distance between clusters:, 6.886456, Davies-Bouldin index:, 0.036324, 
iterations ,300,: Average distance in clusters:, 0.152142, Average distance between clusters:, 0.208106, Davies-Bouldin index:, 1.462159, 
iterations ,300,: Average distance in clusters:, 0.145204, Average distance between clusters:, 0.200328, Davies-Bouldin index:, 1.449658, 
iterations ,300,: Average distance in clusters:, 0.175319, Average distance between clusters:, 0.234706, Davies-Bouldin index:, 1.493946, 
iterations ,300,: Average distance in clusters:, 0.155312, Average distance between clusters:, 0.214078, Davies-Bouldin index:, 1.450985, 
iterations ,300,: Average distance in clusters:, 0.192555, Average distance between clusters:, 0.258609, Davies-Bouldin index:, 1.489160, 
iterations ,300,: Average distance in clusters:, 0.154979, Average distance between clusters:, 8.718688, Davies-Bouldin index:, 0.035551, 
iterations ,300,: Average distance in clusters:, 0.161269, Average distance between clusters:, 3.127311, Davies-Bouldin index:, 0.103136, 
iterations ,300,: Average distance in clusters:, 0.150792, Average distance between clusters:, 7.963188, Davies-Bouldin index:, 0.037872, 
iterations ,300,: Average distance in clusters:, 0.173895, Average distance between clusters:, 0.224489, Davies-Bouldin index:, 1.549249, 
iterations ,300,: Average distance in clusters:, 0.165212, Average distance between clusters:, 0.330669, Davies-Bouldin index:, 0.999255, 
iterations ,300,: Average distance in clusters:, 0.156007, Average distance between clusters:, 6.848592, Davies-Bouldin index:, 0.045559, 
iterations ,300,: Average distance in clusters:, 0.135969, Average distance between clusters:, 0.074749, Davies-Bouldin index:, 3.638027, 
iterations ,300,: Average distance in clusters:, 0.142492, Average distance between clusters:, 0.181067, Davies-Bouldin index:, 1.573913, 
iterations ,300,: Average distance in clusters:, 0.145524, Average distance between clusters:, 0.182167, Davies-Bouldin index:, 1.597694, 
iterations ,300,: Average distance in clusters:, 0.143462, Average distance between clusters:, 0.193723, Davies-Bouldin index:, 1.481099, 
iterations ,300,: Average distance in clusters:, 0.143251, Average distance between clusters:, 0.198314, Davies-Bouldin index:, 1.444688, 
iterations ,300,: Average distance in clusters:, 0.129816, Average distance between clusters:, 0.180383, Davies-Bouldin index:, 1.439345, 
iterations ,300,: Average distance in clusters:, 0.162499, Average distance between clusters:, 0.173003, Davies-Bouldin index:, 1.878567, 
iterations ,300,: Average distance in clusters:, 0.145136, Average distance between clusters:, 0.200555, Davies-Bouldin index:, 1.447344, 
iterations ,300,: Average distance in clusters:, 0.165948, Average distance between clusters:, 0.223326, Davies-Bouldin index:, 1.486145, 
iterations ,300,: Average distance in clusters:, 0.806312, Average distance between clusters:, 0.867814, Davies-Bouldin index:, 1.858260, 
iterations ,300,: Average distance in clusters:, 0.151915, Average distance between clusters:, 0.076607, Davies-Bouldin index:, 3.966065, 
iterations ,300,: Average distance in clusters:, 0.164953, Average distance between clusters:, 0.225105, Davies-Bouldin index:, 1.465570, 
iterations ,300,: Average distance in clusters:, 0.155089, Average distance between clusters:, 0.104462, Davies-Bouldin index:, 2.969292, 
iterations ,300,: Average distance in clusters:, 0.140960, Average distance between clusters:, 0.194711, Davies-Bouldin index:, 1.447895, 
iterations ,300,: Average distance in clusters:, 0.130507, Average distance between clusters:, 0.392330, Davies-Bouldin index:, 0.665295, 
iterations ,300,: Average distance in clusters:, 0.149491, Average distance between clusters:, 0.079061, Davies-Bouldin index:, 3.781670, 
