iterations ,300,: Average distance in clusters:, 0.357074, Average distance between clusters:, 1.147731, Davies-Bouldin index:, 0.622227, 
iterations ,300,: Average distance in clusters:, 0.352449, Average distance between clusters:, 0.688305, Davies-Bouldin index:, 1.024108, 
iterations ,300,: Average distance in clusters:, 0.359000, Average distance between clusters:, 0.577410, Davies-Bouldin index:, 1.243484, 
iterations ,300,: Average distance in clusters:, 0.359734, Average distance between clusters:, 1.939994, Davies-Bouldin index:, 0.370861, 
iterations ,300,: Average distance in clusters:, 0.352735, Average distance between clusters:, 0.573524, Davies-Bouldin index:, 1.230062, 
iterations ,300,: Average distance in clusters:, 0.357953, Average distance between clusters:, 0.516256, Davies-Bouldin index:, 1.386727, 
iterations ,300,: Average distance in clusters:, 0.677475, Average distance between clusters:, 0.538864, Davies-Bouldin index:, 2.514454, 
iterations ,300,: Average distance in clusters:, 0.360961, Average distance between clusters:, 0.921491, Davies-Bouldin index:, 0.783429, 
iterations ,300,: Average distance in clusters:, 0.358771, Average distance between clusters:, 0.417177, Davies-Bouldin index:, 1.719993, 
iterations ,300,: Average distance in clusters:, 0.691509, Average distance between clusters:, 0.624776, Davies-Bouldin index:, 2.213623, 
iterations ,300,: Average distance in clusters:, 0.354646, Average distance between clusters:, 0.252910, Davies-Bouldin index:, 2.804523, 
iterations ,300,: Average distance in clusters:, 0.452136, Average distance between clusters:, 0.440477, Davies-Bouldin index:, 2.052937, 
iterations ,300,: Average distance in clusters:, 0.365231, Average distance between clusters:, 0.515235, Davies-Bouldin index:, 1.417726, 
iterations ,300,: Average distance in clusters:, 0.701832, Average distance between clusters:, 0.838109, Davies-Bouldin index:, 1.674800, 
iterations ,300,: Average distance in clusters:, 0.360576, Average distance between clusters:, 0.473125, Davies-Bouldin index:, 1.524230, 
iterations ,300,: Average distance in clusters:, 0.352199, Average distance between clusters:, 1.077356, Davies-Bouldin index:, 0.653821, 
iterations ,300,: Average distance in clusters:, 0.361687, Average distance between clusters:, 1.597070, Davies-Bouldin index:, 0.452938, 
iterations ,300,: Average distance in clusters:, 0.356387, Average distance between clusters:, 0.374424, Davies-Bouldin index:, 1.903655, 
iterations ,300,: Average distance in clusters:, 0.362323, Average distance between clusters:, 0.607586, Davies-Bouldin index:, 1.192665, 
iterations ,300,: Average distance in clusters:, 0.878835, Average distance between clusters:, 0.654024, Davies-Bouldin index:, 2.687471, 
iterations ,300,: Average distance in clusters:, 0.358524, Average distance between clusters:, 0.575957, Davies-Bouldin index:, 1.244970, 
iterations ,300,: Average distance in clusters:, 0.499036, Average distance between clusters:, 0.591312, Davies-Bouldin index:, 1.687893, 
iterations ,300,: Average distance in clusters:, 0.353260, Average distance between clusters:, 0.786054, Davies-Bouldin index:, 0.898820, 
iterations ,300,: Average distance in clusters:, 0.356285, Average distance between clusters:, 1.099967, Davies-Bouldin index:, 0.647810, 
iterations ,300,: Average distance in clusters:, 0.360065, Average distance between clusters:, 0.616508, Davies-Bouldin index:, 1.168078, 
iterations ,300,: Average distance in clusters:, 0.360616, Average distance between clusters:, 0.404538, Davies-Bouldin index:, 1.782856, 
iterations ,300,: Average distance in clusters:, 0.359616, Average distance between clusters:, 0.403780, Davies-Bouldin index:, 1.781245, 
iterations ,300,: Average distance in clusters:, 0.527521, Average distance between clusters:, 0.452223, Davies-Bouldin index:, 2.333011, 
iterations ,300,: Average distance in clusters:, 0.769379, Average distance between clusters:, 0.744469, Davies-Bouldin index:, 2.066919, 
iterations ,300,: Average distance in clusters:, 0.359295, Average distance between clusters:, 0.855258, Davies-Bouldin index:, 0.840203, 
iterations ,300,: Average distance in clusters:, 0.359350, Average distance between clusters:, 0.384604, Davies-Bouldin index:, 1.868673, 
iterations ,300,: Average distance in clusters:, 0.352178, Average distance between clusters:, 1.053498, Davies-Bouldin index:, 0.668588, 
iterations ,300,: Average distance in clusters:, 0.355307, Average distance between clusters:, 0.480769, Davies-Bouldin index:, 1.478079, 
iterations ,300,: Average distance in clusters:, 0.741329, Average distance between clusters:, 0.666768, Davies-Bouldin index:, 2.223650, 
iterations ,300,: Average distance in clusters:, 0.351675, Average distance between clusters:, 0.907908, Davies-Bouldin index:, 0.774693, 
iterations ,300,: Average distance in clusters:, 0.350397, Average distance between clusters:, 0.856242, Davies-Bouldin index:, 0.818453, 
iterations ,300,: Average distance in clusters:, 0.359311, Average distance between clusters:, 0.422889, Davies-Bouldin index:, 1.699317, 
iterations ,300,: Average distance in clusters:, 0.355911, Average distance between clusters:, 0.327443, Davies-Bouldin index:, 2.173885, 
iterations ,300,: Average distance in clusters:, 0.359016, Average distance between clusters:, 0.926057, Davies-Bouldin index:, 0.775364, 
iterations ,300,: Average distance in clusters:, 0.356458, Average distance between clusters:, 0.772503, Davies-Bouldin index:, 0.922865, 
iterations ,300,: Average distance in clusters:, 0.353154, Average distance between clusters:, 0.866833, Davies-Bouldin index:, 0.814813, 
iterations ,300,: Average distance in clusters:, 0.361001, Average distance between clusters:, 0.495767, Davies-Bouldin index:, 1.456331, 
iterations ,300,: Average distance in clusters:, 0.568742, Average distance between clusters:, 0.404286, Davies-Bouldin index:, 2.813563, 
iterations ,300,: Average distance in clusters:, 0.352944, Average distance between clusters:, 1.395525, Davies-Bouldin index:, 0.505822, 
iterations ,300,: Average distance in clusters:, 0.352152, Average distance between clusters:, 0.895990, Davies-Bouldin index:, 0.786063, 
iterations ,300,: Average distance in clusters:, 0.358556, Average distance between clusters:, 0.526859, Davies-Bouldin index:, 1.361106, 
iterations ,300,: Average distance in clusters:, 0.354276, Average distance between clusters:, 0.797969, Davies-Bouldin index:, 0.887945, 
