iterations ,300,: Average distance in clusters:, 0.272994, Average distance between clusters:, 1.113782, Davies-Bouldin index:, 0.806200, 
iterations ,300,: Average distance in clusters:, 0.274718, Average distance between clusters:, 0.966876, Davies-Bouldin index:, 1.225271, 
iterations ,300,: Average distance in clusters:, 0.275399, Average distance between clusters:, 0.998770, Davies-Bouldin index:, 0.979374, 
iterations ,300,: Average distance in clusters:, 0.274059, Average distance between clusters:, 0.803697, Davies-Bouldin index:, 0.739591, 
iterations ,300,: Average distance in clusters:, 0.274574, Average distance between clusters:, 1.056853, Davies-Bouldin index:, 0.831393, 
iterations ,300,: Average distance in clusters:, 0.274317, Average distance between clusters:, 1.131080, Davies-Bouldin index:, 1.014339, 
iterations ,300,: Average distance in clusters:, 0.358836, Average distance between clusters:, 0.657163, Davies-Bouldin index:, 1.856976, 
iterations ,300,: Average distance in clusters:, 0.276276, Average distance between clusters:, 0.742567, Davies-Bouldin index:, 1.379658, 
iterations ,300,: Average distance in clusters:, 0.271853, Average distance between clusters:, 0.820313, Davies-Bouldin index:, 1.143413, 
iterations ,300,: Average distance in clusters:, 0.481665, Average distance between clusters:, 1.182723, Davies-Bouldin index:, 1.899256, 
iterations ,300,: Average distance in clusters:, 0.273855, Average distance between clusters:, 1.246354, Davies-Bouldin index:, 1.082652, 
iterations ,300,: Average distance in clusters:, 0.274035, Average distance between clusters:, 0.696245, Davies-Bouldin index:, 1.271457, 
iterations ,300,: Average distance in clusters:, 0.274486, Average distance between clusters:, 1.268464, Davies-Bouldin index:, 0.782072, 
iterations ,300,: Average distance in clusters:, 0.273918, Average distance between clusters:, 0.779953, Davies-Bouldin index:, 1.142762, 
iterations ,300,: Average distance in clusters:, 0.276351, Average distance between clusters:, 0.701166, Davies-Bouldin index:, 1.456100, 
iterations ,300,: Average distance in clusters:, 0.275195, Average distance between clusters:, 0.693623, Davies-Bouldin index:, 1.214025, 
iterations ,300,: Average distance in clusters:, 0.470988, Average distance between clusters:, 0.687203, Davies-Bouldin index:, 2.183719, 
iterations ,300,: Average distance in clusters:, 0.505145, Average distance between clusters:, 0.691220, Davies-Bouldin index:, 2.582304, 
iterations ,300,: Average distance in clusters:, 0.274815, Average distance between clusters:, 0.817669, Davies-Bouldin index:, 1.229854, 
iterations ,300,: Average distance in clusters:, 0.273669, Average distance between clusters:, 0.686406, Davies-Bouldin index:, 1.289194, 
iterations ,300,: Average distance in clusters:, 0.272888, Average distance between clusters:, 0.938443, Davies-Bouldin index:, 0.995192, 
iterations ,300,: Average distance in clusters:, 0.275531, Average distance between clusters:, 0.652500, Davies-Bouldin index:, 1.379313, 
iterations ,300,: Average distance in clusters:, 0.479731, Average distance between clusters:, 0.499330, Davies-Bouldin index:, 3.340203, 
iterations ,300,: Average distance in clusters:, 0.406416, Average distance between clusters:, 0.823636, Davies-Bouldin index:, 1.530506, 
