iterations ,300,: Average distance in clusters:,0.048978, Average distance between clusters:,0.954798, Davies-Bouldin index:,0.907607, 
iterations ,300,: Average distance in clusters:,0.092717, Average distance between clusters:,0.542345, Davies-Bouldin index:,1.670936, 
iterations ,300,: Average distance in clusters:,0.126659, Average distance between clusters:,0.416535, Davies-Bouldin index:,1.954748, 
iterations ,300,: Average distance in clusters:,0.047806, Average distance between clusters:,0.788371, Davies-Bouldin index:,0.768782, 
iterations ,300,: Average distance in clusters:,0.049971, Average distance between clusters:,0.386941, Davies-Bouldin index:,1.378409, 
iterations ,300,: Average distance in clusters:,0.048366, Average distance between clusters:,0.507334, Davies-Bouldin index:,1.316328, 
iterations ,300,: Average distance in clusters:,0.04787, Average distance between clusters:,0.400403, Davies-Bouldin index:,1.592516, 
iterations ,300,: Average distance in clusters:,0.12663, Average distance between clusters:,0.227706, Davies-Bouldin index:,2.097107, 
iterations ,300,: Average distance in clusters:,0.045502, Average distance between clusters:,0.787924, Davies-Bouldin index:,1.096907, 
iterations ,300,: Average distance in clusters:,0.051421, Average distance between clusters:,0.592977, Davies-Bouldin index:,1.27098, 
iterations ,300,: Average distance in clusters:,0.046477, Average distance between clusters:,0.862827, Davies-Bouldin index:,0.903389, 
iterations ,300,: Average distance in clusters:,0.087284, Average distance between clusters:,0.479998, Davies-Bouldin index:,1.673245, 
iterations ,300,: Average distance in clusters:,0.050638, Average distance between clusters:,0.210903, Davies-Bouldin index:,2.068399, 
iterations ,300,: Average distance in clusters:,0.046071, Average distance between clusters:,0.51854, Davies-Bouldin index:,1.099902, 
iterations ,300,: Average distance in clusters:,0.046511, Average distance between clusters:,0.672874, Davies-Bouldin index:,1.195054, 
iterations ,300,: Average distance in clusters:,0.130655, Average distance between clusters:,0.60121, Davies-Bouldin index:,1.391625, 
iterations ,300,: Average distance in clusters:,0.049286, Average distance between clusters:,0.616177, Davies-Bouldin index:,0.734255, 
iterations ,300,: Average distance in clusters:,0.142827, Average distance between clusters:,0.402442, Davies-Bouldin index:,1.881524, 
iterations ,300,: Average distance in clusters:,0.104504, Average distance between clusters:,0.483122, Davies-Bouldin index:,1.867147, 
iterations ,300,: Average distance in clusters:,0.142556, Average distance between clusters:,0.425185, Davies-Bouldin index:,2.113455, 
iterations ,300,: Average distance in clusters:,0.049016, Average distance between clusters:,0.498461, Davies-Bouldin index:,1.326571, 
iterations ,300,: Average distance in clusters:,0.059097, Average distance between clusters:,0.403334, Davies-Bouldin index:,1.633899, 
iterations ,300,: Average distance in clusters:,0.045819, Average distance between clusters:,0.408138, Davies-Bouldin index:,1.378663, 
iterations ,300,: Average distance in clusters:,0.049314, Average distance between clusters:,0.375788, Davies-Bouldin index:,1.421291, 
iterations ,300,: Average distance in clusters:,0.073313, Average distance between clusters:,0.411936, Davies-Bouldin index:,1.543539, 
iterations ,300,: Average distance in clusters:,0.134933, Average distance between clusters:,0.462059, Davies-Bouldin index:,2.232967, 
iterations ,300,: Average distance in clusters:,0.045644, Average distance between clusters:,0.621391, Davies-Bouldin index:,1.164938, 
iterations ,300,: Average distance in clusters:,0.080618, Average distance between clusters:,0.512502, Davies-Bouldin index:,1.584282, 
iterations ,300,: Average distance in clusters:,0.111675, Average distance between clusters:,0.375947, Davies-Bouldin index:,1.677649, 
iterations ,300,: Average distance in clusters:,0.060713, Average distance between clusters:,0.351697, Davies-Bouldin index:,1.553233, 
iterations ,300,: Average distance in clusters:,0.156217, Average distance between clusters:,0.383995, Davies-Bouldin index:,1.906936, 
iterations ,300,: Average distance in clusters:,0.046523, Average distance between clusters:,0.313258, Davies-Bouldin index:,1.526973, 
iterations ,300,: Average distance in clusters:,0.103938, Average distance between clusters:,0.598626, Davies-Bouldin index:,1.066665, 
iterations ,300,: Average distance in clusters:,0.094904, Average distance between clusters:,0.479351, Davies-Bouldin index:,1.462066, 
iterations ,300,: Average distance in clusters:,0.059788, Average distance between clusters:,0.599507, Davies-Bouldin index:,1.235986, 
iterations ,300,: Average distance in clusters:,0.045623, Average distance between clusters:,0.526653, Davies-Bouldin index:,1.448215, 
iterations ,300,: Average distance in clusters:,0.120585, Average distance between clusters:,0.242361, Davies-Bouldin index:,2.649936, 
iterations ,300,: Average distance in clusters:,0.166613, Average distance between clusters:,0.358514, Davies-Bouldin index:,2.005487, 
iterations ,300,: Average distance in clusters:,0.08156, Average distance between clusters:,0.542763, Davies-Bouldin index:,1.68245, 
iterations ,300,: Average distance in clusters:,0.095736, Average distance between clusters:,0.298028, Davies-Bouldin index:,1.748127, 
iterations ,300,: Average distance in clusters:,0.128383, Average distance between clusters:,0.31347, Davies-Bouldin index:,2.014904, 
iterations ,300,: Average distance in clusters:,0.070956, Average distance between clusters:,0.239758, Davies-Bouldin index:,1.847319, 
iterations ,300,: Average distance in clusters:,0.077496, Average distance between clusters:,0.386851, Davies-Bouldin index:,1.509161, 
