iterations ,300,: Average distance in clusters:,0.525466, Average distance between clusters:,1.273764, Davies-Bouldin index:,0.82506, 
iterations ,300,: Average distance in clusters:,0.535094, Average distance between clusters:,1.033983, Davies-Bouldin index:,1.035016, 
iterations ,300,: Average distance in clusters:,0.5337, Average distance between clusters:,0.946988, Davies-Bouldin index:,1.127152, 
iterations ,300,: Average distance in clusters:,0.535953, Average distance between clusters:,0.990867, Davies-Bouldin index:,1.081786, 
iterations ,300,: Average distance in clusters:,0.536814, Average distance between clusters:,0.868207, Davies-Bouldin index:,1.236603, 
iterations ,300,: Average distance in clusters:,0.529519, Average distance between clusters:,1.25127, Davies-Bouldin index:,0.84637, 
iterations ,300,: Average distance in clusters:,0.532749, Average distance between clusters:,0.985589, Davies-Bouldin index:,1.081078, 
iterations ,300,: Average distance in clusters:,1.034593, Average distance between clusters:,0.668618, Davies-Bouldin index:,3.094721, 
iterations ,300,: Average distance in clusters:,0.529058, Average distance between clusters:,0.939792, Davies-Bouldin index:,1.125904, 
iterations ,300,: Average distance in clusters:,0.949558, Average distance between clusters:,0.974575, Davies-Bouldin index:,1.948661, 
iterations ,300,: Average distance in clusters:,0.537041, Average distance between clusters:,1.080468, Davies-Bouldin index:,0.99409, 
iterations ,300,: Average distance in clusters:,0.527712, Average distance between clusters:,1.027473, Davies-Bouldin index:,1.027204, 
iterations ,300,: Average distance in clusters:,0.529348, Average distance between clusters:,0.872377, Davies-Bouldin index:,1.213576, 
iterations ,300,: Average distance in clusters:,0.865141, Average distance between clusters:,0.925753, Davies-Bouldin index:,1.869054, 
iterations ,300,: Average distance in clusters:,0.53298, Average distance between clusters:,1.343154, Davies-Bouldin index:,0.793624, 
iterations ,300,: Average distance in clusters:,1.035486, Average distance between clusters:,0.477733, Davies-Bouldin index:,4.335, 
iterations ,300,: Average distance in clusters:,0.530808, Average distance between clusters:,1.417938, Davies-Bouldin index:,0.748704, 
iterations ,300,: Average distance in clusters:,0.535452, Average distance between clusters:,1.150061, Davies-Bouldin index:,0.931171, 
iterations ,300,: Average distance in clusters:,0.525068, Average distance between clusters:,0.991456, Davies-Bouldin index:,1.059186, 
iterations ,300,: Average distance in clusters:,0.533565, Average distance between clusters:,1.093385, Davies-Bouldin index:,0.975987, 
iterations ,300,: Average distance in clusters:,0.532399, Average distance between clusters:,1.065279, Davies-Bouldin index:,0.999549, 
iterations ,300,: Average distance in clusters:,0.524631, Average distance between clusters:,0.988331, Davies-Bouldin index:,1.06165, 
iterations ,300,: Average distance in clusters:,0.533146, Average distance between clusters:,1.207164, Davies-Bouldin index:,0.883304, 
iterations ,300,: Average distance in clusters:,0.532712, Average distance between clusters:,0.953596, Davies-Bouldin index:,1.117269, 
iterations ,300,: Average distance in clusters:,0.526339, Average distance between clusters:,1.292544, Davies-Bouldin index:,0.814423, 
iterations ,300,: Average distance in clusters:,0.529347, Average distance between clusters:,0.899991, Davies-Bouldin index:,1.176339, 
iterations ,300,: Average distance in clusters:,0.527155, Average distance between clusters:,0.975775, Davies-Bouldin index:,1.080485, 
