iterations ,300,: Average distance in clusters:, 0.050584, Average distance between clusters:, 0.528703, Davies-Bouldin index:, 1.117993, 
iterations ,300,: Average distance in clusters:, 0.092100, Average distance between clusters:, 0.547836, Davies-Bouldin index:, 1.692212, 
iterations ,300,: Average distance in clusters:, 0.099191, Average distance between clusters:, 0.551779, Davies-Bouldin index:, 1.483640, 
iterations ,300,: Average distance in clusters:, 0.121395, Average distance between clusters:, 0.532962, Davies-Bouldin index:, 1.841095, 
iterations ,300,: Average distance in clusters:, 0.063784, Average distance between clusters:, 0.489044, Davies-Bouldin index:, 1.281169, 
iterations ,300,: Average distance in clusters:, 0.049575, Average distance between clusters:, 0.542599, Davies-Bouldin index:, 0.919960, 
iterations ,300,: Average distance in clusters:, 0.072321, Average distance between clusters:, 0.462822, Davies-Bouldin index:, 1.559197, 
iterations ,300,: Average distance in clusters:, 0.113273, Average distance between clusters:, 0.474968, Davies-Bouldin index:, 1.448332, 
iterations ,300,: Average distance in clusters:, 0.049811, Average distance between clusters:, 0.402057, Davies-Bouldin index:, 0.919974, 
iterations ,300,: Average distance in clusters:, 0.148599, Average distance between clusters:, 0.403723, Davies-Bouldin index:, 2.592732, 
iterations ,300,: Average distance in clusters:, 0.050677, Average distance between clusters:, 0.587281, Davies-Bouldin index:, 1.129883, 
iterations ,300,: Average distance in clusters:, 0.050085, Average distance between clusters:, 0.573424, Davies-Bouldin index:, 0.911533, 
iterations ,300,: Average distance in clusters:, 0.049930, Average distance between clusters:, 0.514251, Davies-Bouldin index:, 1.124711, 
iterations ,300,: Average distance in clusters:, 0.127948, Average distance between clusters:, 0.485143, Davies-Bouldin index:, 2.295166, 
iterations ,300,: Average distance in clusters:, 0.050230, Average distance between clusters:, 0.470907, Davies-Bouldin index:, 1.476075, 
iterations ,300,: Average distance in clusters:, 0.091380, Average distance between clusters:, 0.415705, Davies-Bouldin index:, 1.863462, 
iterations ,300,: Average distance in clusters:, 0.066712, Average distance between clusters:, 0.800349, Davies-Bouldin index:, 1.004924, 
iterations ,300,: Average distance in clusters:, 0.050637, Average distance between clusters:, 0.711167, Davies-Bouldin index:, 3.178719, 
iterations ,300,: Average distance in clusters:, 0.199190, Average distance between clusters:, 0.459418, Davies-Bouldin index:, 2.807108, 
iterations ,300,: Average distance in clusters:, 0.193867, Average distance between clusters:, 0.469800, Davies-Bouldin index:, 2.441696, 
iterations ,300,: Average distance in clusters:, 0.130419, Average distance between clusters:, 0.445048, Davies-Bouldin index:, 2.927664, 
iterations ,300,: Average distance in clusters:, 0.108111, Average distance between clusters:, 0.529515, Davies-Bouldin index:, 1.509374, 
iterations ,300,: Average distance in clusters:, 0.050212, Average distance between clusters:, 0.559133, Davies-Bouldin index:, 0.966651, 
iterations ,300,: Average distance in clusters:, 0.050619, Average distance between clusters:, 0.418581, Davies-Bouldin index:, 1.414724, 
iterations ,300,: Average distance in clusters:, 0.075023, Average distance between clusters:, 0.469922, Davies-Bouldin index:, 1.569325, 
iterations ,300,: Average distance in clusters:, 0.115892, Average distance between clusters:, 0.368352, Davies-Bouldin index:, 2.973280, 
iterations ,300,: Average distance in clusters:, 0.051070, Average distance between clusters:, 0.414435, Davies-Bouldin index:, 1.503292, 
iterations ,300,: Average distance in clusters:, 0.050825, Average distance between clusters:, 0.776393, Davies-Bouldin index:, 0.916345, 
iterations ,300,: Average distance in clusters:, 0.051032, Average distance between clusters:, 0.392762, Davies-Bouldin index:, 1.449628, 
iterations ,300,: Average distance in clusters:, 0.084943, Average distance between clusters:, 0.421036, Davies-Bouldin index:, 2.083411, 
iterations ,300,: Average distance in clusters:, 0.085375, Average distance between clusters:, 0.406343, Davies-Bouldin index:, 1.434222, 
iterations ,300,: Average distance in clusters:, 0.169521, Average distance between clusters:, 0.452395, Davies-Bouldin index:, 1.820248, 
iterations ,300,: Average distance in clusters:, 0.085853, Average distance between clusters:, 0.431068, Davies-Bouldin index:, 1.440528, 
iterations ,300,: Average distance in clusters:, 0.104488, Average distance between clusters:, 0.459050, Davies-Bouldin index:, 1.716527, 
iterations ,300,: Average distance in clusters:, 0.127097, Average distance between clusters:, 0.415358, Davies-Bouldin index:, 2.946507, 
iterations ,300,: Average distance in clusters:, 0.050641, Average distance between clusters:, 0.474575, Davies-Bouldin index:, 1.067919, 
iterations ,300,: Average distance in clusters:, 0.103402, Average distance between clusters:, 0.370572, Davies-Bouldin index:, 3.008893, 
iterations ,300,: Average distance in clusters:, 0.138519, Average distance between clusters:, 0.611633, Davies-Bouldin index:, 1.371310, 
iterations ,300,: Average distance in clusters:, 0.146966, Average distance between clusters:, 0.434429, Davies-Bouldin index:, 2.702860, 
iterations ,300,: Average distance in clusters:, 0.164194, Average distance between clusters:, 0.405609, Davies-Bouldin index:, 2.435930, 
iterations ,300,: Average distance in clusters:, 0.050254, Average distance between clusters:, 0.477928, Davies-Bouldin index:, 1.294722, 
iterations ,300,: Average distance in clusters:, 0.120569, Average distance between clusters:, 0.492194, Davies-Bouldin index:, 1.848999, 
iterations ,300,: Average distance in clusters:, 0.136517, Average distance between clusters:, 0.549522, Davies-Bouldin index:, 1.306297, 
iterations ,300,: Average distance in clusters:, 0.139357, Average distance between clusters:, 0.516309, Davies-Bouldin index:, 2.159968, 
iterations ,300,: Average distance in clusters:, 0.050140, Average distance between clusters:, 0.461720, Davies-Bouldin index:, 1.278225, 
iterations ,300,: Average distance in clusters:, 0.050581, Average distance between clusters:, 0.583627, Davies-Bouldin index:, 1.066952, 
iterations ,300,: Average distance in clusters:, 0.150611, Average distance between clusters:, 0.402761, Davies-Bouldin index:, 2.110300, 
