Competitive cluster ,0: Average distance in clusters:, 0.833543, Average distance between clusters:, 0.017932, Davies-Bouldin index:, 111.746996, 
Competitive cluster ,0: Average distance in clusters:, 0.833450, Average distance between clusters:, 0.024314, Davies-Bouldin index:, 73.894665, 
Competitive cluster ,0: Average distance in clusters:, 0.833467, Average distance between clusters:, 0.025272, Davies-Bouldin index:, 81.937421, 
Competitive cluster ,0: Average distance in clusters:, 0.833547, Average distance between clusters:, 0.019806, Davies-Bouldin index:, 98.771993, 
Competitive cluster ,0: Average distance in clusters:, 0.833509, Average distance between clusters:, 0.019203, Davies-Bouldin index:, 97.311418, 
Competitive cluster ,0: Average distance in clusters:, 0.833477, Average distance between clusters:, 0.023970, Davies-Bouldin index:, 103.811010, 
Competitive cluster ,0: Average distance in clusters:, 0.833455, Average distance between clusters:, 0.028779, Davies-Bouldin index:, 63.943211, 
Competitive cluster ,0: Average distance in clusters:, 0.833480, Average distance between clusters:, 0.023263, Davies-Bouldin index:, 82.653108, 
Competitive cluster ,0: Average distance in clusters:, 0.833516, Average distance between clusters:, 0.020788, Davies-Bouldin index:, 93.374140, 
Competitive cluster ,0: Average distance in clusters:, 0.833459, Average distance between clusters:, 0.029091, Davies-Bouldin index:, 71.044099, 
Competitive cluster ,0: Average distance in clusters:, 0.833496, Average distance between clusters:, 0.024494, Davies-Bouldin index:, 75.410797, 
Competitive cluster ,0: Average distance in clusters:, 0.833472, Average distance between clusters:, 0.024458, Davies-Bouldin index:, 78.927856, 
Competitive cluster ,0: Average distance in clusters:, 0.833513, Average distance between clusters:, 0.018387, Davies-Bouldin index:, 97.227943, 
Competitive cluster ,0: Average distance in clusters:, 0.833517, Average distance between clusters:, 0.022350, Davies-Bouldin index:, 85.850118, 
Competitive cluster ,0: Average distance in clusters:, 0.833498, Average distance between clusters:, 0.021567, Davies-Bouldin index:, 90.692443, 
Competitive cluster ,0: Average distance in clusters:, 0.833498, Average distance between clusters:, 0.024806, Davies-Bouldin index:, 81.180187, 
Competitive cluster ,0: Average distance in clusters:, 0.833518, Average distance between clusters:, 0.023097, Davies-Bouldin index:, 85.018857, 
Competitive cluster ,0: Average distance in clusters:, 0.833511, Average distance between clusters:, 0.021320, Davies-Bouldin index:, 80.976722, 
Competitive cluster ,0: Average distance in clusters:, 0.833501, Average distance between clusters:, 0.024994, Davies-Bouldin index:, 73.542309, 
Competitive cluster ,0: Average distance in clusters:, 0.833515, Average distance between clusters:, 0.017816, Davies-Bouldin index:, 101.785008, 
Competitive cluster ,0: Average distance in clusters:, 0.833471, Average distance between clusters:, 0.025723, Davies-Bouldin index:, 68.024082, 
Competitive cluster ,0: Average distance in clusters:, 0.833524, Average distance between clusters:, 0.018348, Davies-Bouldin index:, 116.804558, 
Competitive cluster ,0: Average distance in clusters:, 0.833408, Average distance between clusters:, 0.032598, Davies-Bouldin index:, 64.313877, 
Competitive cluster ,0: Average distance in clusters:, 0.833464, Average distance between clusters:, 0.023522, Davies-Bouldin index:, 79.862024, 
Competitive cluster ,0: Average distance in clusters:, 0.833520, Average distance between clusters:, 0.023555, Davies-Bouldin index:, 81.805244, 
Competitive cluster ,0: Average distance in clusters:, 0.833464, Average distance between clusters:, 0.022814, Davies-Bouldin index:, 82.099927, 
Competitive cluster ,0: Average distance in clusters:, 0.833480, Average distance between clusters:, 0.023355, Davies-Bouldin index:, 79.296102, 
Competitive cluster ,0: Average distance in clusters:, 0.833490, Average distance between clusters:, 0.023185, Davies-Bouldin index:, 75.327004, 
Competitive cluster ,0: Average distance in clusters:, 0.833500, Average distance between clusters:, 0.026610, Davies-Bouldin index:, 63.647104, 
Competitive cluster ,0: Average distance in clusters:, 0.833526, Average distance between clusters:, 0.020782, Davies-Bouldin index:, 106.371426, 
Competitive cluster ,0: Average distance in clusters:, 0.833489, Average distance between clusters:, 0.024855, Davies-Bouldin index:, 82.925292, 
Competitive cluster ,0: Average distance in clusters:, 0.833473, Average distance between clusters:, 0.025387, Davies-Bouldin index:, 72.881677, 
Competitive cluster ,0: Average distance in clusters:, 0.833512, Average distance between clusters:, 0.023356, Davies-Bouldin index:, 92.550601, 
Competitive cluster ,0: Average distance in clusters:, 0.833460, Average distance between clusters:, 0.022782, Davies-Bouldin index:, 90.128033, 
Competitive cluster ,0: Average distance in clusters:, 0.833526, Average distance between clusters:, 0.018410, Davies-Bouldin index:, 91.943426, 
Competitive cluster ,0: Average distance in clusters:, 0.833479, Average distance between clusters:, 0.024401, Davies-Bouldin index:, 73.218229, 
Competitive cluster ,0: Average distance in clusters:, 0.833466, Average distance between clusters:, 0.024818, Davies-Bouldin index:, 79.533180, 
Competitive cluster ,0: Average distance in clusters:, 0.833500, Average distance between clusters:, 0.019090, Davies-Bouldin index:, 105.845166, 
Competitive cluster ,0: Average distance in clusters:, 0.833430, Average distance between clusters:, 0.029886, Davies-Bouldin index:, 62.185472, 
Competitive cluster ,0: Average distance in clusters:, 0.833542, Average distance between clusters:, 0.016420, Davies-Bouldin index:, 104.398013, 
Competitive cluster ,0: Average distance in clusters:, 0.833460, Average distance between clusters:, 0.025756, Davies-Bouldin index:, 74.397649, 
Competitive cluster ,0: Average distance in clusters:, 0.833451, Average distance between clusters:, 0.023463, Davies-Bouldin index:, 91.440651, 
Competitive cluster ,0: Average distance in clusters:, 0.833485, Average distance between clusters:, 0.022045, Davies-Bouldin index:, 102.276884, 
Competitive cluster ,0: Average distance in clusters:, 0.833532, Average distance between clusters:, 0.019876, Davies-Bouldin index:, 102.583494, 
Competitive cluster ,0: Average distance in clusters:, 0.833495, Average distance between clusters:, 0.022043, Davies-Bouldin index:, 93.527141, 
Competitive cluster ,0: Average distance in clusters:, 0.833488, Average distance between clusters:, 0.025277, Davies-Bouldin index:, 81.272869, 
Competitive cluster ,0: Average distance in clusters:, 0.833490, Average distance between clusters:, 0.021906, Davies-Bouldin index:, 82.617422, 
Competitive cluster ,0: Average distance in clusters:, 0.833445, Average distance between clusters:, 0.025277, Davies-Bouldin index:, 68.759829, 
Competitive cluster ,0: Average distance in clusters:, 0.833480, Average distance between clusters:, 0.025897, Davies-Bouldin index:, 74.083044, 
Competitive cluster ,0: Average distance in clusters:, 0.833537, Average distance between clusters:, 0.019527, Davies-Bouldin index:, 102.384832, 
