Competitive cluster ,0: Average distance in clusters:, 0.397038, Average distance between clusters:, 0.240081, Davies-Bouldin index:, 8.058658, 
Competitive cluster ,0: Average distance in clusters:, 0.409702, Average distance between clusters:, 0.212114, Davies-Bouldin index:, 8.781547, 
Competitive cluster ,0: Average distance in clusters:, 0.412070, Average distance between clusters:, 0.197715, Davies-Bouldin index:, 14.277656, 
Competitive cluster ,0: Average distance in clusters:, 0.413287, Average distance between clusters:, 0.202238, Davies-Bouldin index:, 10.409263, 
Competitive cluster ,0: Average distance in clusters:, 0.400180, Average distance between clusters:, 0.228875, Davies-Bouldin index:, 12.927875, 
Competitive cluster ,0: Average distance in clusters:, 0.403122, Average distance between clusters:, 0.219820, Davies-Bouldin index:, 13.441870, 
Competitive cluster ,0: Average distance in clusters:, 0.415045, Average distance between clusters:, 0.196171, Davies-Bouldin index:, 9.731848, 
Competitive cluster ,0: Average distance in clusters:, 0.406959, Average distance between clusters:, 0.208219, Davies-Bouldin index:, 12.180142, 
Competitive cluster ,0: Average distance in clusters:, 0.403093, Average distance between clusters:, 0.224511, Davies-Bouldin index:, 11.444183, 
Competitive cluster ,0: Average distance in clusters:, 0.398781, Average distance between clusters:, 0.231939, Davies-Bouldin index:, 10.810504, 
Competitive cluster ,0: Average distance in clusters:, 0.408917, Average distance between clusters:, 0.210845, Davies-Bouldin index:, 8.741098, 
Competitive cluster ,0: Average distance in clusters:, 0.410264, Average distance between clusters:, 0.202951, Davies-Bouldin index:, 12.649724, 
Competitive cluster ,0: Average distance in clusters:, 0.404323, Average distance between clusters:, 0.229541, Davies-Bouldin index:, 8.198799, 
Competitive cluster ,0: Average distance in clusters:, 0.402854, Average distance between clusters:, 0.232632, Davies-Bouldin index:, 9.546453, 
Competitive cluster ,0: Average distance in clusters:, 0.402879, Average distance between clusters:, 0.236626, Davies-Bouldin index:, 7.085563, 
Competitive cluster ,0: Average distance in clusters:, 0.407890, Average distance between clusters:, 0.218807, Davies-Bouldin index:, 8.747923, 
Competitive cluster ,0: Average distance in clusters:, 0.403813, Average distance between clusters:, 0.223052, Davies-Bouldin index:, 9.565307, 
Competitive cluster ,0: Average distance in clusters:, 0.411312, Average distance between clusters:, 0.205392, Davies-Bouldin index:, 10.419108, 
Competitive cluster ,0: Average distance in clusters:, 0.402847, Average distance between clusters:, 0.231396, Davies-Bouldin index:, 8.673219, 
Competitive cluster ,0: Average distance in clusters:, 0.406237, Average distance between clusters:, 0.215975, Davies-Bouldin index:, 10.045572, 
Competitive cluster ,0: Average distance in clusters:, 0.403099, Average distance between clusters:, 0.226544, Davies-Bouldin index:, 13.415566, 
Competitive cluster ,0: Average distance in clusters:, 0.412015, Average distance between clusters:, 0.201359, Davies-Bouldin index:, 10.158883, 
Competitive cluster ,0: Average distance in clusters:, 0.411710, Average distance between clusters:, 0.199619, Davies-Bouldin index:, 11.091086, 
Competitive cluster ,0: Average distance in clusters:, 0.412304, Average distance between clusters:, 0.202480, Davies-Bouldin index:, 10.722365, 
Competitive cluster ,0: Average distance in clusters:, 0.404438, Average distance between clusters:, 0.217037, Davies-Bouldin index:, 11.209737, 
Competitive cluster ,0: Average distance in clusters:, 0.410519, Average distance between clusters:, 0.199596, Davies-Bouldin index:, 13.523766, 
Competitive cluster ,0: Average distance in clusters:, 0.399238, Average distance between clusters:, 0.233281, Davies-Bouldin index:, 9.782605, 
Competitive cluster ,0: Average distance in clusters:, 0.407842, Average distance between clusters:, 0.215212, Davies-Bouldin index:, 10.046650, 
