Competitive cluster ,0: Average distance in clusters:, 0.376443, Average distance between clusters:, 0.309918, Davies-Bouldin index:, 7.167103, 
Competitive cluster ,0: Average distance in clusters:, 0.386570, Average distance between clusters:, 0.308429, Davies-Bouldin index:, 8.792579, 
Competitive cluster ,0: Average distance in clusters:, 0.374984, Average distance between clusters:, 0.334288, Davies-Bouldin index:, 6.781745, 
Competitive cluster ,0: Average distance in clusters:, 0.376810, Average distance between clusters:, 0.291049, Davies-Bouldin index:, 9.568506, 
Competitive cluster ,0: Average distance in clusters:, 0.372518, Average distance between clusters:, 0.307719, Davies-Bouldin index:, 6.605985, 
Competitive cluster ,0: Average distance in clusters:, 0.374690, Average distance between clusters:, 0.319942, Davies-Bouldin index:, 6.256748, 
Competitive cluster ,0: Average distance in clusters:, 0.378582, Average distance between clusters:, 0.303878, Davies-Bouldin index:, 7.048003, 
Competitive cluster ,0: Average distance in clusters:, 0.375926, Average distance between clusters:, 0.344535, Davies-Bouldin index:, 5.478030, 
Competitive cluster ,0: Average distance in clusters:, 0.375014, Average distance between clusters:, 0.330233, Davies-Bouldin index:, 5.157582, 
Competitive cluster ,0: Average distance in clusters:, 0.367034, Average distance between clusters:, 0.329240, Davies-Bouldin index:, 7.307723, 
Competitive cluster ,0: Average distance in clusters:, 0.372963, Average distance between clusters:, 0.330661, Davies-Bouldin index:, 6.624040, 
Competitive cluster ,0: Average distance in clusters:, 0.367482, Average distance between clusters:, 0.335020, Davies-Bouldin index:, 5.998181, 
Competitive cluster ,0: Average distance in clusters:, 0.373661, Average distance between clusters:, 0.326059, Davies-Bouldin index:, 5.462456, 
Competitive cluster ,0: Average distance in clusters:, 0.374546, Average distance between clusters:, 0.341348, Davies-Bouldin index:, 6.093969, 
Competitive cluster ,0: Average distance in clusters:, 0.370556, Average distance between clusters:, 0.331572, Davies-Bouldin index:, 7.716732, 
Competitive cluster ,0: Average distance in clusters:, 0.374635, Average distance between clusters:, 0.317336, Davies-Bouldin index:, 7.290800, 
Competitive cluster ,0: Average distance in clusters:, 0.384281, Average distance between clusters:, 0.306698, Davies-Bouldin index:, 7.944184, 
Competitive cluster ,0: Average distance in clusters:, 0.373239, Average distance between clusters:, 0.311110, Davies-Bouldin index:, 6.472835, 
Competitive cluster ,0: Average distance in clusters:, 0.377960, Average distance between clusters:, 0.323372, Davies-Bouldin index:, 7.452151, 
Competitive cluster ,0: Average distance in clusters:, 0.367016, Average distance between clusters:, 0.341645, Davies-Bouldin index:, 5.986886, 
Competitive cluster ,0: Average distance in clusters:, 0.378097, Average distance between clusters:, 0.316588, Davies-Bouldin index:, 7.173770, 
Competitive cluster ,0: Average distance in clusters:, 0.366505, Average distance between clusters:, 0.335592, Davies-Bouldin index:, 6.746034, 
Competitive cluster ,0: Average distance in clusters:, 0.362164, Average distance between clusters:, 0.340497, Davies-Bouldin index:, 6.816354, 
Competitive cluster ,0: Average distance in clusters:, 0.367619, Average distance between clusters:, 0.324407, Davies-Bouldin index:, 6.293226, 
Competitive cluster ,0: Average distance in clusters:, 0.374851, Average distance between clusters:, 0.320218, Davies-Bouldin index:, 8.993915, 
Competitive cluster ,0: Average distance in clusters:, 0.382720, Average distance between clusters:, 0.304581, Davies-Bouldin index:, 7.126985, 
Competitive cluster ,0: Average distance in clusters:, 0.377627, Average distance between clusters:, 0.296930, Davies-Bouldin index:, 11.274129, 
Competitive cluster ,0: Average distance in clusters:, 0.373665, Average distance between clusters:, 0.309325, Davies-Bouldin index:, 8.790129, 
Competitive cluster ,0: Average distance in clusters:, 0.377919, Average distance between clusters:, 0.321116, Davies-Bouldin index:, 6.550712, 
Competitive cluster ,0: Average distance in clusters:, 0.373507, Average distance between clusters:, 0.327889, Davies-Bouldin index:, 6.110593, 
Competitive cluster ,0: Average distance in clusters:, 0.371048, Average distance between clusters:, 0.320887, Davies-Bouldin index:, 7.324695, 
Competitive cluster ,0: Average distance in clusters:, 0.371936, Average distance between clusters:, 0.316601, Davies-Bouldin index:, 7.698435, 
Competitive cluster ,0: Average distance in clusters:, 0.373126, Average distance between clusters:, 0.334287, Davies-Bouldin index:, 7.716832, 
Competitive cluster ,0: Average distance in clusters:, 0.373191, Average distance between clusters:, 0.314781, Davies-Bouldin index:, 7.291369, 
Competitive cluster ,0: Average distance in clusters:, 0.383418, Average distance between clusters:, 0.326498, Davies-Bouldin index:, 7.192239, 
Competitive cluster ,0: Average distance in clusters:, 0.375750, Average distance between clusters:, 0.320558, Davies-Bouldin index:, 7.155153, 
Competitive cluster ,0: Average distance in clusters:, 0.370919, Average distance between clusters:, 0.324800, Davies-Bouldin index:, 6.945861, 
