Competitive cluster ,0: Average distance in clusters:, 1.219317, Average distance between clusters:, 0.149380, Davies-Bouldin index:, 16.325092, 
Competitive cluster ,0: Average distance in clusters:, 1.219062, Average distance between clusters:, 0.156190, Davies-Bouldin index:, 15.610014, 
Competitive cluster ,0: Average distance in clusters:, 1.218891, Average distance between clusters:, 0.164029, Davies-Bouldin index:, 14.861863, 
Competitive cluster ,0: Average distance in clusters:, 1.218000, Average distance between clusters:, 0.184335, Davies-Bouldin index:, 13.215101, 
Competitive cluster ,0: Average distance in clusters:, 1.217407, Average distance between clusters:, 0.200290, Davies-Bouldin index:, 12.156459, 
Competitive cluster ,0: Average distance in clusters:, 1.219419, Average distance between clusters:, 0.147669, Davies-Bouldin index:, 16.515617, 
Competitive cluster ,0: Average distance in clusters:, 1.219247, Average distance between clusters:, 0.152241, Davies-Bouldin index:, 16.017380, 
Competitive cluster ,0: Average distance in clusters:, 1.220452, Average distance between clusters:, 0.109683, Davies-Bouldin index:, 22.254101, 
Competitive cluster ,0: Average distance in clusters:, 1.220314, Average distance between clusters:, 0.124597, Davies-Bouldin index:, 19.588119, 
Competitive cluster ,0: Average distance in clusters:, 1.218545, Average distance between clusters:, 0.173850, Davies-Bouldin index:, 14.018344, 
Competitive cluster ,0: Average distance in clusters:, 1.219800, Average distance between clusters:, 0.129884, Davies-Bouldin index:, 18.782957, 
Competitive cluster ,0: Average distance in clusters:, 1.219643, Average distance between clusters:, 0.139219, Davies-Bouldin index:, 17.521187, 
Competitive cluster ,0: Average distance in clusters:, 1.217916, Average distance between clusters:, 0.188949, Davies-Bouldin index:, 12.891471, 
Competitive cluster ,0: Average distance in clusters:, 1.218648, Average distance between clusters:, 0.165131, Davies-Bouldin index:, 14.759813, 
Competitive cluster ,0: Average distance in clusters:, 1.218337, Average distance between clusters:, 0.176495, Davies-Bouldin index:, 13.805885, 
Competitive cluster ,0: Average distance in clusters:, 1.219223, Average distance between clusters:, 0.154472, Davies-Bouldin index:, 15.785634, 
Competitive cluster ,0: Average distance in clusters:, 1.216374, Average distance between clusters:, 0.222780, Davies-Bouldin index:, 10.919974, 
Competitive cluster ,0: Average distance in clusters:, 1.220309, Average distance between clusters:, 0.112756, Davies-Bouldin index:, 21.645208, 
Competitive cluster ,0: Average distance in clusters:, 1.218562, Average distance between clusters:, 0.171687, Davies-Bouldin index:, 14.195134, 
Competitive cluster ,0: Average distance in clusters:, 1.219610, Average distance between clusters:, 0.141960, Davies-Bouldin index:, 17.182444, 
Competitive cluster ,0: Average distance in clusters:, 1.219727, Average distance between clusters:, 0.135703, Davies-Bouldin index:, 17.976432, 
Competitive cluster ,0: Average distance in clusters:, 1.219732, Average distance between clusters:, 0.133536, Davies-Bouldin index:, 18.268177, 
Competitive cluster ,0: Average distance in clusters:, 1.219679, Average distance between clusters:, 0.133572, Davies-Bouldin index:, 18.262455, 
Competitive cluster ,0: Average distance in clusters:, 1.219375, Average distance between clusters:, 0.145127, Davies-Bouldin index:, 16.804198, 
Competitive cluster ,0: Average distance in clusters:, 1.219497, Average distance between clusters:, 0.138014, Davies-Bouldin index:, 17.672098, 
Competitive cluster ,0: Average distance in clusters:, 1.220115, Average distance between clusters:, 0.115401, Davies-Bouldin index:, 21.145676, 
Competitive cluster ,0: Average distance in clusters:, 1.219473, Average distance between clusters:, 0.143188, Davies-Bouldin index:, 17.033163, 
Competitive cluster ,0: Average distance in clusters:, 1.219209, Average distance between clusters:, 0.151760, Davies-Bouldin index:, 16.067634, 
Competitive cluster ,0: Average distance in clusters:, 1.218824, Average distance between clusters:, 0.163815, Davies-Bouldin index:, 14.880518, 
Competitive cluster ,0: Average distance in clusters:, 1.218822, Average distance between clusters:, 0.163224, Davies-Bouldin index:, 14.934375, 
Competitive cluster ,0: Average distance in clusters:, 1.219008, Average distance between clusters:, 0.157619, Davies-Bouldin index:, 15.467730, 
Competitive cluster ,0: Average distance in clusters:, 1.218468, Average distance between clusters:, 0.175480, Davies-Bouldin index:, 13.887225, 
Competitive cluster ,0: Average distance in clusters:, 1.217958, Average distance between clusters:, 0.188546, Davies-Bouldin index:, 12.919506, 
Competitive cluster ,0: Average distance in clusters:, 1.220364, Average distance between clusters:, 0.108450, Davies-Bouldin index:, 22.505580, 
Competitive cluster ,0: Average distance in clusters:, 1.217804, Average distance between clusters:, 0.190902, Davies-Bouldin index:, 12.758427, 
Competitive cluster ,0: Average distance in clusters:, 1.219583, Average distance between clusters:, 0.136622, Davies-Bouldin index:, 17.853429, 
Competitive cluster ,0: Average distance in clusters:, 1.218760, Average distance between clusters:, 0.162774, Davies-Bouldin index:, 14.974896, 
Competitive cluster ,0: Average distance in clusters:, 1.218944, Average distance between clusters:, 0.158718, Davies-Bouldin index:, 15.359889, 
Competitive cluster ,0: Average distance in clusters:, 1.219290, Average distance between clusters:, 0.146083, Davies-Bouldin index:, 16.693154, 
Competitive cluster ,0: Average distance in clusters:, 1.219821, Average distance between clusters:, 0.130519, Davies-Bouldin index:, 18.691830, 
Competitive cluster ,0: Average distance in clusters:, 1.217951, Average distance between clusters:, 0.189508, Davies-Bouldin index:, 12.853856, 
Competitive cluster ,0: Average distance in clusters:, 1.219186, Average distance between clusters:, 0.149928, Davies-Bouldin index:, 16.263599, 
Competitive cluster ,0: Average distance in clusters:, 1.219939, Average distance between clusters:, 0.126705, Davies-Bouldin index:, 19.256316, 
Competitive cluster ,0: Average distance in clusters:, 1.218757, Average distance between clusters:, 0.167454, Davies-Bouldin index:, 14.556310, 
Competitive cluster ,0: Average distance in clusters:, 1.219355, Average distance between clusters:, 0.146920, Davies-Bouldin index:, 16.598883, 
Competitive cluster ,0: Average distance in clusters:, 1.219159, Average distance between clusters:, 0.152131, Davies-Bouldin index:, 16.027719, 
Competitive cluster ,0: Average distance in clusters:, 1.218151, Average distance between clusters:, 0.182580, Davies-Bouldin index:, 13.343781, 
Competitive cluster ,0: Average distance in clusters:, 1.218832, Average distance between clusters:, 0.164142, Davies-Bouldin index:, 14.850909, 
Competitive cluster ,0: Average distance in clusters:, 1.220492, Average distance between clusters:, 0.106204, Davies-Bouldin index:, 22.983830, 
Competitive cluster ,0: Average distance in clusters:, 1.220109, Average distance between clusters:, 0.119516, Davies-Bouldin index:, 20.417481, 
